CSCX;CSC;Predio;Direccion;Pais;Departamento;Municipio;latitud;longitud
1494;2637;CONJUNTO RESIDENCIAL REMANSOS DEL LILI;CALLE 55  99 -250;COLOMBIA;Valle del cauca;CALI;L;L%&
1508;2685;CONJUNTO RESIDENCIAL MULTIFAMILAR K 109 EBA ETAPA I;CALLE 58  109 -83;COLOMBIA;Valle del cauca;CALI;L;L%&
1509;3027;CONJUNTO TERRACOTA B VIS;CALLE 58  93 - 199;COLOMBIA;Valle del cauca;CALI;L;L%&
1561;1665;CONJUNTO RESIDENCIAL PORTAL DE LA LOMA ;CALLE 6  127-85 Pance;COLOMBIA;Valle del cauca;CALI;L;L%&
1562;3017;PANCE CAMPESTRE ETAPA 1;CALLE 6  137 - 94;COLOMBIA;Valle del cauca;CALI;L;L%&
1598;3075;CAFETO CONJUNTO RESIDENCIAL ETAPA 1 SUBETAPA 1A Y SUBETAPA 1B-VIS;CALLE 60 A  119 - 140;COLOMBIA;Valle del cauca;CALI;L;L%&
1597;2976;CONJUNTO RESIDENCIAL  PRADERA VIS ;CALLE 60 A  119 C -84;COLOMBIA;Valle del cauca;CALI;L;L%&
1599;3088;CONJUNTO RESIDENCIAL CARACOLI;CALLE 60 B  107 - 75;COLOMBIA;Valle del cauca;CALI;L;L%&
1601;2996;LANTANA CONJUNTO RESIDENCIAL -VIS ETAPA 1 SUB ETAPA 1A ;CALLE 60 B  119 A - 51;COLOMBIA;Valle del cauca;CALI;L;L%&
1612;3021;CONJUNTO JADE;CALLE 60  97 BIS - 46;COLOMBIA;Valle del cauca;CALI;L;L%&
1606;2796;CONJUNTO TURQUESA B -VIS ;CALLE 60  98 C-43;COLOMBIA;Valle del cauca;CALI;L;L%&
1607;2759;CONJUNTO AMBAR PROPIEDAD HORIZONTA ;CALLE 60  98 D-45;COLOMBIA;Valle del cauca;CALI;L;L%&
1608;2688;CONJUNTO RESIDENCIAL RESERVA CARMESI;CALLE 60  98 F -33;COLOMBIA;Valle del cauca;CALI;L;L%&
1618;2999;CONJUNTO AMATISTA A - VIS;CALLE 61  93 - 180;COLOMBIA;Valle del cauca;CALI;L;L%&
1619;3000;CONJUNTO AMATISTA B - VIS;CALLE 61  93 - 48;COLOMBIA;Valle del cauca;CALI;L;L%&
1691;1868;CONDOMINIO QUINTAS DE PANCE;CALLE 7  141-180;COLOMBIA;Valle del cauca;CALI;L;L%&
1741;1694;CENTRO CULTURAL ANTROPOSOFICO Y COMUNIDAD DE LOS CRISTIAS;CALLE 7ª  41 -11;COLOMBIA;Valle del cauca;CALI;L;L%&
1819;578;EDIFICIO 99;CALLE 9A  8-54;COLOMBIA;Valle del cauca;CALI;L;L%&
1852;2482;CONJUNTO MULTIFAMILIAR EL PORTAL DE LA AUTOMA II VIS PLAN PARCIAL DE LAS VEGAS DE COMFANDI UNIDAD DE GESTION II;CALLLE 54  84 - 34;COLOMBIA;Valle del cauca;CALI;L;L%&
1865;1200;EDIFICIO jardin via veneto;CARRERA 1 a OESTE  1-75;COLOMBIA;Valle del cauca;CALI;L;L%&
1867;209;EDIFICIO TAHAYULI;CARRERA 1 AVENIDA 11-65 OESTE;COLOMBIA;Valle del cauca;CALI;L;L%&
1895;1771;COPROPIETARIOS DEL EDIFICIO DEL RIO ;CARRERA 1 OESTE  1 B -16;COLOMBIA;Valle del cauca;CALI;L;L%&
1896;593;EDIFICIO ALTOS DEL RIO;CARRERA 1 OESTE  10-09;COLOMBIA;Valle del cauca;CALI;L;L%&
1897;939;EDIFICIO IARKON;CARRERA 1 OESTE  10-27;COLOMBIA;Valle del cauca;CALI;L;L%&
1898;1118;EDIFICIO Santa Teresita ;CARRERA 1 OESTE  11-135;COLOMBIA;Valle del cauca;CALI;L;L%&
1901;1527;EDIFICIO RIVERA DEL RIO;CARRERA 1 OESTE  11-79;COLOMBIA;Valle del cauca;CALI;L;L%&
1902;2882;EDIFICIO MULTIFAMILIAR RIO ALTO APARTAMENTOS;CARRERA 1 OESTE  13 - 45;COLOMBIA;Valle del cauca;CALI;L;L%&
1903;270;EDIFICIO RIO CLARO;CARRERA 1 OESTE  13-49;COLOMBIA;Valle del cauca;CALI;L;L%&
1904;1189;CENTRO ALFEREZ REAL;CARRERA 1 OESTE  1-50/76;COLOMBIA;Valle del cauca;CALI;L;L%&
1893;2467;MOLIS DE SANTA TERESITA  APARTAMENTOS ;CARRERA 1 OESTE  17 OESTE -77;COLOMBIA;Valle del cauca;CALI;L;L%&
1988;2699;CONJUNTO  VILLA CAERMESI;CARRERA 102  98 F 24;COLOMBIA;Valle del cauca;CALI;L;L%&
1999;3036;K 104 MAPLE CONJUNTO RESIDENCIAL ETAPA I;CARRERA 104  44 - 69;COLOMBIA;Valle del cauca;CALI;L;L%&
2011;2869;CONJUNTO RESIDENCIAL K 106 RATTAN ETAPA I;CARRERA 106  44 - 67;COLOMBIA;Valle del cauca;CALI;L;L%&
2015;2900;CONJUNTO RESIDENCIAL K 108 - CEDRO ETAPA I;CARRERA 108  42 - 92;COLOMBIA;Valle del cauca;CALI;L;L%&
2012;2587;CONJUNTO RESIDENCIAL K-108 TEKA  ETAPA I;CARRERA 108  42-17;COLOMBIA;Valle del cauca;CALI;L;L%&
2013;2625;CONJUNTO MULTIFAMILIAR  -K108 GAL ETAPA  I;CARRERA 108  44 -75;COLOMBIA;Valle del cauca;CALI;L;L%&
2018;2815;CONJUNTO RESIDENCIAL K-111 GRANADILLO V1S ETAPA I;CARRERA 111  49-32;COLOMBIA;Valle del cauca;CALI;L;L%&
2022;3001;CENTRO COMERCIAL PORTAL DE LA BOCHA PLAZA;CARRERA 112  28 - 47;COLOMBIA;Valle del cauca;CALI;L;L%&
2020;2509;EDIFICIO PALMERAS DE LA BOCHA;CARRERA 112  44 -21;COLOMBIA;Valle del cauca;CALI;L;L%&
